"kaffebar_id","aar","maaned","maaned_nr","varme_dager","iskaffe_salg"
1,2021,1,1,2,239
1,2021,2,2,4,277
1,2021,3,3,1,220
1,2021,4,4,7,271
1,2021,5,5,9,287
1,2021,6,6,16,309
1,2021,7,7,23,349
1,2021,8,8,20,348
1,2021,9,9,13,298
1,2021,10,10,5,275
1,2021,11,11,3,230
1,2021,12,12,2,257
1,2022,1,13,6,277
1,2022,2,14,3,225
1,2022,3,15,3,219
1,2022,4,16,6,257
1,2022,5,17,12,271
1,2022,6,18,18,331
1,2022,7,19,22,363
1,2022,8,20,20,348
1,2022,9,21,10,267
1,2022,10,22,5,264
1,2022,11,23,5,254
1,2022,12,24,3,264
1,2023,1,25,1,235
1,2023,2,26,1,217
1,2023,3,27,3,248
1,2023,4,28,4,242
1,2023,5,29,13,279
1,2023,6,30,17,350
1,2023,7,31,22,351
1,2023,8,32,20,343
1,2023,9,33,12,278
1,2023,10,34,9,267
1,2023,11,35,6,239
1,2023,12,36,4,237
2,2021,1,1,0,183
2,2021,2,2,0,137
2,2021,3,3,0,169
2,2021,4,4,2,159
2,2021,5,5,4,178
2,2021,6,6,13,243
2,2021,7,7,18,238
2,2021,8,8,14,264
2,2021,9,9,6,192
2,2021,10,10,0,165
2,2021,11,11,0,152
2,2021,12,12,0,156
2,2022,1,13,0,171
2,2022,2,14,0,152
2,2022,3,15,0,160
2,2022,4,16,0,130
2,2022,5,17,6,197
2,2022,6,18,7,202
2,2022,7,19,14,236
2,2022,8,20,17,251
2,2022,9,21,7,212
2,2022,10,22,0,166
2,2022,11,23,0,174
2,2022,12,24,1,199
2,2023,1,25,0,147
2,2023,2,26,0,161
2,2023,3,27,0,146
2,2023,4,28,1,177
2,2023,5,29,6,183
2,2023,6,30,13,246
2,2023,7,31,18,244
2,2023,8,32,18,278
2,2023,9,33,7,254
2,2023,10,34,1,160
2,2023,11,35,0,161
2,2023,12,36,0,178
3,2021,1,1,4,243
3,2021,2,2,0,181
3,2021,3,3,4,244
3,2021,4,4,3,220
3,2021,5,5,10,255
3,2021,6,6,18,309
3,2021,7,7,22,322
3,2021,8,8,25,348
3,2021,9,9,10,229
3,2021,10,10,6,226
3,2021,11,11,2,193
3,2021,12,12,3,214
3,2022,1,13,0,223
3,2022,2,14,1,193
3,2022,3,15,4,192
3,2022,4,16,6,231
3,2022,5,17,10,248
3,2022,6,18,19,284
3,2022,7,19,22,335
3,2022,8,20,20,315
3,2022,9,21,15,306
3,2022,10,22,6,251
3,2022,11,23,3,229
3,2022,12,24,2,249
3,2023,1,25,0,216
3,2023,2,26,0,202
3,2023,3,27,4,208
3,2023,4,28,7,238
3,2023,5,29,10,259
3,2023,6,30,18,307
3,2023,7,31,18,298
3,2023,8,32,21,296
3,2023,9,33,9,240
3,2023,10,34,3,210
3,2023,11,35,0,204
3,2023,12,36,3,248
4,2021,1,1,2,175
4,2021,2,2,0,186
4,2021,3,3,1,213
4,2021,4,4,0,184
4,2021,5,5,13,268
