Flyplass,ICAO,IATA,airline,flight_id,dom_int,schedule_time,arr_dep,airport,via_airport,gate,code,time,uniqueID,delayed,check_in,delayed_minutes
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY1030,S,2020-01-12T05:55:00Z,D,GDN,NA,E26,D,2020-01-12T05:39:54Z,9043872,1,NA,-15.1
"Bergen lufthavn, Flesland",ENBR,BGO,KL,KL1188,S,2020-01-12T08:00:00Z,D,AMS,NA,E28,D,2020-01-12T07:48:00Z,9044291,1,NA,-12
"Bergen lufthavn, Flesland",ENBR,BGO,KL,KL1186,S,2020-01-12T12:10:00Z,D,AMS,NA,E28,D,2020-01-12T12:01:00Z,9044289,1,NA,-9
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY170,D,2020-01-12T14:50:00Z,D,TRD,NA,B18,D,2020-01-12T20:16:00Z,9043940,1,NA,326
"Bergen lufthavn, Flesland",ENBR,BGO,KL,KL1190,S,2020-01-12T15:25:00Z,D,AMS,NA,E28,D,2020-01-12T15:31:00Z,9044293,1,NA,6
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY1318,I,2020-01-12T17:10:00Z,D,LGW,NA,F24,D,2020-01-12T17:03:00Z,9043908,1,NA,-7
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF458,D,2020-01-12T17:45:00Z,D,AES,NA,D32,D,2020-01-12T18:03:00Z,9044851,1,NA,18
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY645,D,2020-01-12T17:50:00Z,D,OSL,NA,B19,D,2020-01-12T18:22:00Z,9044174,1,NA,32
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF618,D,2020-01-12T17:50:00Z,D,TOS,BOO,B15,D,2020-01-12T18:20:00Z,9044935,1,NA,30
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF198,D,2020-01-12T17:55:00Z,D,OSL,FDE,B16,D,2020-01-12T18:04:00Z,9044794,1,NA,9
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF156,D,2020-01-12T18:10:00Z,D,OSL,SOG,C35,D,2020-01-12T18:08:00Z,9044752,1,NA,-2
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY643,D,2020-01-12T18:30:00Z,D,OSL,NA,B17,D,2020-01-12T19:55:00Z,9044172,1,NA,85
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF547,D,2020-01-12T18:30:00Z,D,SVG,NA,D29,D,2020-01-12T18:37:00Z,9044883,1,NA,7
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4194,D,2020-01-12T19:45:00Z,D,AES,NA,B15,D,2020-01-12T19:45:00Z,9044538,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF112,D,2020-01-12T19:50:00Z,D,FRO,NA,D32,D,2020-01-12T19:49:00Z,9044722,1,NA,-1
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF429,D,2020-01-12T19:55:00Z,D,TRF,NA,B14,D,2020-01-12T19:52:00Z,9044839,1,NA,-3
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF518,D,2020-01-12T20:05:00Z,D,MOL,NA,D31,D,2020-01-12T20:40:00Z,9044875,1,NA,35
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY132,D,2020-01-12T20:10:00Z,D,SVG,NA,B17,D,2020-01-12T20:53:00Z,9043910,1,NA,43
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF576,D,2020-01-12T20:30:00Z,D,KSU,NA,C35,D,2020-01-12T20:50:00Z,9044895,1,NA,20
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF599,D,2020-01-12T20:40:00Z,D,KRS,NA,D32,D,2020-01-12T20:36:00Z,9044917,1,NA,-4
