party,age,religious,gender
Liberal Party (V),74,0,Male
Not applicable,17,0,Male
Socialist Left Party (SV),54,3,Male
Labour Party (A),50,3,Female
Labour Party (A),25,1,Male
Liberal Party (V),43,5,Male
Not applicable,45,6,Female
Liberal Party (V),75,8,Female
Conservative Party (H),27,6,Female
Centre Party (SP),62,5,Male
Not applicable,38,0,Female
Not applicable,50,1,Male
Liberal Party (V),41,7,Female
Conservative Party (H),49,2,Male
Labour Party (A),24,5,Male
Not applicable,18,0,Male
Conservative Party (H),67,5,Male
Conservative Party (H),35,2,Male
Progress Party (FRP),57,0,Male
Labour Party (A),66,0,Male
Conservative Party (H),73,5,Male
Conservative Party (H),71,5,Male
Green Party (MDG),27,3,Female
Not applicable,57,0,Male
Not applicable,56,6,Female
Labour Party (A),63,1,Female
Labour Party (A),53,0,Male
Christian Democratic Party (KRF),52,8,Male
Conservative Party (H),73,6,Female
Conservative Party (H),81,5,Male
Conservative Party (H),62,5,Female
Progress Party (FRP),44,3,Female
Conservative Party (H),79,7,Female
Conservative Party (H),73,0,Male
Other,29,0,Male
Conservative Party (H),26,1,Male
Progress Party (FRP),51,4,Male
Christian Democratic Party (KRF),71,10,Male
Green Party (MDG),50,1,Male
Liberal Party (V),50,4,Male
Labour Party (A),28,0,Male
Not applicable,53,8,Male
Progress Party (FRP),59,4,Male
Centre Party (SP),53,4,Male
Labour Party (A),94,6,Male
Labour Party (A),42,4,Female
Conservative Party (H),67,1,Female
Refusal,52,0,Female
Not applicable,32,0,Male
Conservative Party (H),49,2,Male
Refusal,43,3,Female
Labour Party (A),65,4,Female
Conservative Party (H),26,6,Male
Progress Party (FRP),62,6,Male
Refusal,60,2,Male
Christian Democratic Party (KRF),68,8,Female
Not applicable,30,3,Male
Labour Party (A),46,5,Male
Labour Party (A),70,4,Male
Conservative Party (H),57,6,Female
Labour Party (A),62,7,Male
Labour Party (A),68,3,Male
Not applicable,15,2,Female
Socialist Left Party (SV),37,0,Male
Labour Party (A),39,3,Female
Not applicable,20,6,Female
Conservative Party (H),78,7,Male
Conservative Party (H),46,5,Female
Progress Party (FRP),64,7,Female
Labour Party (A),35,6,Female
Socialist Left Party (SV),28,1,Female
Conservative Party (H),23,0,Female
Centre Party (SP),91,5,Female
Not applicable,18,6,Female
Conservative Party (H),20,6,Female
Not applicable,41,6,Male
Progress Party (FRP),67,5,Female
Progress Party (FRP),60,7,Male
