     St.no       Date         RR         SA         SD SLAG     
     50540 01.01.1983        4.6          0          0    -                     
     50540 02.01.1983       27.3          0          0   30                       
     50540 03.01.1983        5.5          0          0   30                      
     50540 04.01.1983       10.0          0          0    3                      
     50540 05.01.1983        2.1          0          0    3                     
     50540 06.01.1983       28.5          0          0   30                       
     50540 07.01.1983        7.1          0          0   30                      
     50540 08.01.1983        8.4          0          0    3                     
     50540 09.01.1983       25.9          0          0   30                       
     50540 10.01.1983       10.7          0          0    3                      
     50540 11.01.1983       32.1          0          0    3                      
     50540 12.01.1983       33.0          0          0    3                      
     50540 13.01.1983       21.8          0          0   30                       
     50540 14.01.1983        7.5          2          4   30                      
     50540 15.01.1983       10.5          3          4    2                      
     50540 16.01.1983        6.0          6          4   30                      
     50540 17.01.1983       16.3          8          4   30                       
     50540 18.01.1983       18.0          2          3   30                       
     50540 19.01.1983        0.4          2          4   30                      
     50540 20.01.1983        7.1          8          4    2                     
     50540 21.01.1983       64.8          0          0   30                       
     50540 22.01.1983       15.9          0          0    3                      
     50540 23.01.1983        3.0          0          0    3                     
     50540 24.01.1983          .          0          0    -                   
     50540 25.01.1983       17.7          0          0    3                      
     50540 26.01.1983        7.1          0          0    3                     
     50540 27.01.1983       20.5          0          0    3                      
     50540 28.01.1983       17.1          0          0   30                       
     50540 29.01.1983        9.9          0          0   30                      
     50540 30.01.1983       17.3          0          0   30                       
     50540 31.01.1983        4.9          5          4    2                     
     50540 01.02.1983        2.4          2          4    2                     
     50540 02.02.1983          .          2          4    -                   
     50540 03.02.1983       10.3          6          4    2                      
     50540 04.02.1983       12.5         20          4   30                        
     50540 05.02.1983        8.8          7          4   30                      
     50540 06.02.1983        1.4          9          4   30                      
     50540 07.02.1983          .          8          4    -                   
     50540 08.02.1983          .          8          4    -                   
     50540 09.02.1983          .          8          4    -                   
     50540 10.02.1983        0.3         10          4    2                      
     50540 11.02.1983        0.8         10          4    2                      
     50540 12.02.1983          .          9          4    -                   
     50540 13.02.1983        0.5          8          4    3                     
     50540 14.02.1983        0.0          8          4    3                     
     50540 15.02.1983        0.0          8          4    3                     
     50540 16.02.1983          .          8          4    -                   
     50540 17.02.1983          .          4          4    -                   
     50540 18.02.1983        0.0          4          4    3                     
     50540 19.02.1983        0.3          2          3    3                     
     50540 20.02.1983        5.1          6          4   30                      
     50540 21.02.1983        0.1          4          4    2                     
     50540 22.02.1983        1.0          6          4    2                     
     50540 23.02.1983          .          5          3    -                   
     50540 24.02.1983          .          2          3    -                   
     50540 25.02.1983          .          2          3    -                   
     50540 26.02.1983          .          0          3    -                   
     50540 27.02.1983          .          0          3    -                   
     50540 28.02.1983        1.8          0          1   30                      
     50540 01.03.1983        0.6          0          1   30                      
     50540 02.03.1983          .          0          1    -                   
     50540 03.03.1983        0.0          0          1    3                     
     50540 04.03.1983       21.8          0          1    3                      
     50540 05.03.1983        5.6          0          1   30                      
     50540 06.03.1983        4.8          0          0   30                      
     50540 07.03.1983       16.9          0          0    3                      
     50540 08.03.1983        9.8          0          0   30                      
     50540 09.03.1983       67.1          0          0    3                      
     50540 10.03.1983       16.5          0          0    3                      
     50540 11.03.1983       11.0          0          0   30                       
     50540 12.03.1983          .          0          0    -                   
     50540 13.03.1983        2.4          0          0   30                      
     50540 14.03.1983        0.0          0          0   30                      
     50540 15.03.1983       14.0          0          0    3                      
     50540 16.03.1983        6.6          0          0    3                     
     50540 17.03.1983        1.6          0          0    3                     
     50540 18.03.1983       34.8          0          0    3                      
     50540 19.03.1983        1.7          0          0    3                     
     50540 20.03.1983          .          0          0    -                   
     50540 21.03.1983       19.5          0          0    3                      
     50540 22.03.1983        1.3          0          0   30                      
     50540 23.03.1983        0.0          0          0    3                     
     50540 24.03.1983          .          0          0    -                   
     50540 25.03.1983          .          0          0    -                   
     50540 26.03.1983          .          0          0    -                   
     50540 27.03.1983       11.3          6          4   30                       
     50540 28.03.1983          .          0          1    -                   
     50540 29.03.1983          .          0          1    -                   
     50540 30.03.1983        0.0          0          1   30                      
     50540 31.03.1983        1.5          0          0   30                      
